034448 787000 富邦金國泰11購01
033933 783000 創意元大0C購01  
031908 779000 順德永豐0A購01  
081300 770000 聯電元大07購05  
034547 766000 開發金統一0C購01
034901 764000 新纖元大0B購04  
1612 754000 宏泰            
031641 746000 永豐餘元大0C購01
034446 744000 台橡國泰11購01  
2363 739924 矽統            
1608 735000 華榮            
3019 735000 亞光            
034550 733000 世紀鋼統一0C購01
00850 722985 元大臺灣ESG永續 
089326 720000 聯詠富邦0B購04  
031522 717000 宏全元大0B購01  
080414 717000 茂林元大07購01  
2405 710286 浩鑫            
033512 709000 南茂統一0C購01  
3016 705000 嘉晶            
030189 704000 滬深2X凱基12購01
2915 701567 潤泰全          
032799 700000 達方元大0C購01  
086758 700000 聯發科麥證09購02
9938 697134 百和            
05054P 697000 京鼎元富09售02  
082130 696000 台積電統一0A購02
1452 692000 宏益            
089764 691000 恆大凱基11購01  
034195 690000 友達元大0B購12  
8021 690000 尖點            
032137 687000 大成鋼凱基14購03
3673 681817 TPK-KY          
032330 679000 東鋼群益0B購03  
035230 678000 中鋼永豐0B購02  
06707P 678000 臺股指元大09售16
083666 676000 聯電統一08購08  
035653 675000 大亞國泰12購01  
034322 675000 中纖群益0B購02  
05361P 675000 長榮國票07售06  
1417 672000 嘉裕            
3094 670208 聯傑            
034292 663000 燁輝中信0B購01  
06215P 660000 T50反1元大0B售01
034799 654000 永豐餘凱基0B購02
035142 651000 長榮統一0C購15  
081070 647000 永豐餘中信07購01
00876 645997 元大未來關鍵科技
4976 645000 佳凌            
06916P 643000 欣興元大0A售01  
032497 638000 泰山永豐0A購01  
035279 635000 中鋼國票0C購06  
033473 630000 聯發科凱基0C購06
06240P 627000 亞德客元大08售02
088526 622000 智易國泰0B購01  
082648 622000 台積電永豐07購04
034946 620000 台玻凱基0C購03  
031207 619000 東鋼凱基0B購04  
032217 616000 大成鋼統一0B購05
035663 613000 燁輝統一13購01  
032145 612000 長榮凱基11購02  
030937 611000 群創群益0B購07  
031311 611000 深中小元大0A購01
033439 608000 聯發科元大12購04
031195 605000 南亞科兆豐0A購01
2328 603739 廣宇            
6120 603000 達運            
2636 602679 台驊投控        
1326 600579 台化            
030306 599000 威盛康和0A購02  
067709 599000 大立光元富07購01
033547 598000 聯發科元富12購05
2547 597000 日勝生          
3576 593000 聯合再生        
032311 589000 新興永豐0A購03  
07209P 581000 聯發科富邦11售02
2314 580000 台揚            
035437 577000 創意元大0B購02  
035208 577000 長榮麥證0B購04  
6531 576083 愛普            
034033 575000 燁輝元富0B購02  
1609 573000 大亞            
034543 570000 富邦金統一0B購05
4919 568674 新唐            
030900 567000 大成鋼凱基0B購02
089939 566000 景碩永豐0A購01  
06147P 566000 臺股指麥證07售10
2465 565000 麗臺            
034428 563000 中鋼台新0B購03  
030921 561000 春源群益0A購02  
089544 561000 東鋼國泰0B購01  
034773 560000 大成鋼富邦0C購04
035541 556000 東鋼統一0B購04  
034188 556000 新光鋼元大0B購04
034007 554000 友達群益0B購06  
034860 554000 台驊控元大0C購01
00631L 553768 元大台灣50正2   
00738U 549000 期元大道瓊白銀  
2820 549000 華票            
033438 546000 聯發科元大11購03
033999 546000 中鋼群益0B購11  
031026 545000 南亞科凱基14購01
035220 544000 中鋼國泰11購03  
030315 543000 台達電麥證11購01
035517 543000 超豐永豐0B購01  
2456 540007 奇力新          
00655L 540000 國泰中國A50正2  
034736 540000 長榮元大0B購11  
077717 537000 欣興元大07購02  
00636 536541 國泰中國A50     
2342 535000 茂矽            
035374 535000 東鋼凱基0C購02  
034076 534000 燁輝元大11購02  
4956 534000 光鋐            
5243 532000 乙盛-KY         
2108 528064 南帝            
031553 528000 滬深2X群益0A購03
1413 522000 宏洲            
035104 522000 裕民元大0B購06  
6168 522000 宏齊            
3437 521000 榮創            
032039 520000 華榮國票0C購01  
085555 520000 聯發科群益08購16
3003 519000 健和興          
034835 516000 榮成康和0C購01  
034790 516000 祥碩國泰11購01  
2338 515901 光罩            
035875 514000 華新群益0B購04  
032773 513000 燁輝元大0C購02  
3026 513000 禾伸堂          
088589 512000 瑞軒統一09購02  
07092P 512000 聯發科元大0B售06
2201 510229 裕隆            
089020 510000 智易元大0C購01  
3034 509756 聯詠            
033212 509000 欣興群益0C購01  
035085 508000 台玻凱基11購01  
03747C 507000 聯電富邦13牛01  
2360 504999 致茂            
086837 502000 王品元大0A購01  
085546 502000 臺指反群益0A購02
034964 501000 大成鋼元大0C購04
078486 500000 旺宏國票06購02  
074086 500000 滬深2X國泰06購02
034434 499000 台玻凱基0B購02  
032175 499000 中石化群益0B購04
088132 499000 嘉威凱基09購01  
033582 499000 大成鋼凱基0B購03
033605 497000 燁輝群益0C購01  
035765 494000 祥碩元富0B購01  
086557 492000 欣興元大11購01  
2441 487920 超豐            
9927 487000 泰銘            
035784 485000 裕民國泰12購01  
088355 485000 美食統一0B購01  
