00677U,267320000,期富邦VIX       
2002,54632028,中鋼            
2888,17904864,新光金          
1314,13823936,中石化          
2610,11721720,華航            
1102,8815227,亞泥            
1101,8510653,台泥            
1802,8408488,台玻            
2891,8058523,中信金          
2881,7140847,富邦金          
2103,6828000,台橡            
1447,6782000,力鵬            
2368,6722047,金像電          
2890,5985486,永豐金          
2885,5979252,元大金          
2329,5961586,華泰            
2892,5831805,第一金          
2887,5774808,台新金          
2882,5672010,國泰金          
1907,5649204,永豐餘          
2637,5535999,慧洋-KY         
2441,5517000,超豐            
8150,5107747,南茂            
1301,4976391,台塑            
00642U,4944100,期元大S&P石油   
085038,4544000,台積電元富12購03
1714,3993000,和桐            
3017,3769462,奇鋐            
1605,3750251,華新            
2880,3735906,華南金          
2371,3716000,大同            
2886,3683176,兆豐金          
2515,3442901,中工            
2618,3234487,長榮航          
4306,3120000,炎洲            
5880,3015067,合庫金          
9904,2908832,寶成            
1711,2656000,永光            
2823,2589844,中壽            
034484,2569000,聯發科元大0B購05
2028,2409000,威致            
2614,2396000,東森            
2489,2355694,瑞軒            
1303,2304220,南亞            
075084,2296000,世紀鋼凱基07購01
2208,2219138,台船            
00669R,2112950,國泰美國道瓊反1 
1609,2064800,大亞            
2867,2013000,三商壽          
2308,2007900,台達電          
1717,1989249,長興            
1444,1979000,力麗            
2401,1954001,凌陽            
2104,1927050,國際中橡        
031894,1912000,臺股指凱基0A購18
2105,1907445,正新            
079797,1899000,國巨凱基06購09  
1905,1898135,華紙            
2010,1841000,春源            
087682,1800000,台積電元大0B購05
2897,1782000,王道銀行        
1313,1776075,聯成            
020022,1749000,元大電動車N     
085767,1719000,鴻海凱基08購22  
3035,1699946,智原            
031420,1681000,聯電凱基14購01  
5876,1669144,上海商銀        
080288,1666000,FB上証中信07購01
081237,1585000,A50正2元富07購01
1440,1557786,南紡            
081070,1535000,永豐餘中信07購01
2633,1528029,台灣高鐵        
035164,1523000,技嘉國票0B購01  
033910,1493000,南電統一11購02  
035261,1468000,新唐凱基11購01  
030387,1458000,直得元大0A購02  
2412,1443951,中華電          
2801,1416667,彰銀            
2030,1398985,彰源            
3714,1375738,富采            
035485,1357000,萬海群益13購03  
079478,1355000,欣興兆豐07購01  
2504,1350143,國產            
034637,1344000,創意元大0B購01  
033071,1339000,長榮凱基0C購02  
2201,1320708,裕隆            
1326,1318271,台化            
033254,1315000,威健元大0C購01  
06045P,1297000,晶技元大07售05  
06447P,1290000,嘉澤凱基09售02  
1608,1270000,華榮            
033346,1265000,晶技永豐0B購01  
2027,1260374,大成鋼          
3596,1257000,智易            
032220,1250000,微星統一0C購01  
2303,1247480,聯電            
2330,1239468,台積電          
4967,1239000,十銓            
1457,1224000,宜進            
077595,1221000,台表科統一08購01
033638,1213000,中鋼麥證0C購02  
082802,1199000,欣興台新07購01  
3059,1198000,華晶科          
2905,1169000,三商            
081661,1163000,長榮永豐07購06  
084072,1135000,聯電元大07購19  
033970,1127000,聯電凱基0B購04  
2615,1118059,萬海            
1476,1086956,儒鴻            
4414,1085000,如興            
2349,1063000,錸德            
080860,1063000,裕隆統一08購01  
2845,1050000,遠東銀          
033652,1048000,允強統一15購01  
082340,1044000,世紀鋼統一09購03
035596,1033000,華邦電元大0C購06
2029,1026000,盛餘            
031523,1019000,茂順元大0B購01  
085873,998000,聯詠元富09購05  
084184,996000,T50正2元大0A購05
2204,989928,中華            
2913,987311,農林            
1709,978000,和益            
085456,974000,聯發科元富0A購07
2855,972000,統一證          
035352,971000,臻鼎國泰11購01  
