00677U 169275000 期富邦VIX       
2603 20010981 長榮            
2609 16376810 陽明            
00715L 13394000 期街口布蘭特正2 
2601 10594000 益航            
00642U 10140452 期元大S&P石油   
2027 10097156 大成鋼          
2618 9833395 長榮航          
0056 9160384 元大高股息      
2610 8626700 華航            
2888 7417015 新光金          
074352 7346000 大立光統一07購02
1718 7032000 中纖            
1714 6557000 和桐            
2637 6416402 慧洋-KY         
1409 5968187 新纖            
2891 5496500 中信金          
1313 5096000 聯成            
3576 5045000 聯合再生        
00881 4771844 國泰台灣5G+     
1909 4722022 榮成            
2883 4487100 開發金          
034325 4458000 中鋼群益0C購06  
9904 4405898 寶成            
2881 4380192 富邦金          
2330 4289198 台積電          
1455 4100000 集盛            
2337 3985921 旺宏            
2369 3924859 菱生            
034695 3859000 長榮群益0C購08  
2038 3688000 海光            
1907 3465480 永豐餘          
034714 3335000 中鋼康和11購01  
1802 3270776 台玻            
2892 3214200 第一金          
2605 3195553 新興            
2607 3106000 榮運            
2885 3039400 元大金          
2367 2804000 燿華            
2108 2739550 南帝            
1717 2666316 長興            
3049 2655956 和鑫            
2393 2654743 億光            
030154 2653000 大立光富邦0B購03
2887 2635400 台新金          
3711 2633750 日月光投控      
2368 2618286 金像電          
2615 2610184 萬海            
6278 2585745 台表科          
0050 2327353 元大台灣50      
034694 2318000 長榮群益0B購10  
035276 2222000 中石化國票0C購04
1444 2203000 力麗            
6005 2187000 群益證          
2323 2136500 中環            
2353 2062600 宏碁            
031389 2021000 長榮統一0B購08  
077815 2000000 滬深2X元大07購04
2356 1985400 英業達          
1440 1984359 南紡            
1305 1981000 華夏            
2328 1918694 廣宇            
067709 1894000 大立光元富07購01
2312 1863000 金寶            
030561 1844000 長榮統一11購01  
085612 1814000 大立光元大0C購03
2363 1793000 矽統            
6443 1789000 元晶            
2377 1725448 微星            
3060 1702000 銘異            
1326 1692540 台化            
083135 1684000 聯發科凱基08購10
5608 1679850 四維航          
031026 1660000 南亞科凱基14購01
1308 1651753 亞聚            
088130 1644000 亞光凱基09購03  
2314 1616000 台揚            
1417 1579000 嘉裕            
086099 1557000 欣興永豐08購02  
4938 1541886 和碩            
2611 1513000 志信            
2476 1505000 鉅祥            
085873 1497000 聯詠元富09購05  
4919 1473775 新唐            
033899 1472000 友達統一0B購06  
3036 1469044 文曄            
086724 1469000 臺股指元大0A購15
4142 1456005 國光生          
1310 1440000 台苯            
07025P 1435000 儒鴻凱基0B售02  
3189 1432687 景碩            
083036 1432000 台積電中信0B購07
2365 1399000 昆盈            
4306 1388000 炎洲            
8110 1383000 華東            
074904 1374000 嘉聯益統一06購01
8021 1374000 尖點            
2884 1320001 玉山金          
030832 1276000 長榮中信0C購02  
4746 1273100 台耀            
2331 1254302 精英            
032050 1253000 威盛國票0B購01  
035723 1250000 群創元大0B購20  
034649 1244000 晶技國泰11購01  
033212 1243000 欣興群益0C購01  
035499 1236000 欣興國泰13購01  
033990 1228000 南亞科兆豐12購01
2329 1222102 華泰            
4133 1220000 亞諾法          
06284P 1208000 台積電元大0C售01
034592 1205000 中鋼統一0B購03  
078798 1197000 華通凱基07購01  
2031 1194963 新光鋼          
06819P 1181000 長榮凱基0B售07  
8105 1181000 凌巨            
031885 1169000 長榮凱基14購04  
035142 1162000 長榮統一0C購15  
033906 1151000 群創統一0C購11  
6257 1144064 矽格            
032017 1136000 景碩統一0C購01  
031653 1130000 台積電元大0A購13
033901 1118000 聯發科統一15購06
2355 1106607 敬鵬            
033820 1106000 友訊統一0C購01  
034851 1104000 中橡元大0C購01  
031958 1102000 友訊元大0A購03  
2324 1101800 仁寶            
00878 1099080 國泰永續高股息  
078895 1098000 華擎元大06購02  
6153 1068033 嘉聯益          
078723 1066000 華邦電統一09購01
1216 1065945 統一            
089092 1055000 友達統一0B購04  
2028 1055000 威致            
1711 1051000 永光            
3033 1050000 威健            
034395 1043000 台郡元大0C購03  
2371 1038000 大同            
3545 1036644 敦泰            
081195 1021000 華邦電元大07購08
2492 1018507 華新科          
088814 1013000 瑞軒元大0A購01  
2520 1010889 冠德            
2441 1007000 超豐            
078041 999000 致伸凱基06購01  
086180 998000 長華元大08購02  
00701 995258 國泰股利精選30  
1477 991424 聚陽            
3714 989335 富采            
1414 987996 東和            
034457 986000 聯電群益11購02  
2406 977000 國碩            
089367 974000 聯詠元大09購15  
083124 968000 鴻海凱基0A購09  
2349 965860 錸德            
6251 958000 定穎            
2313 956176 華通            
2890 954500 永豐金          
080604 953000 世紀鋼統一08購01
1527 951000 鑽全            
3048 951000 益登            
086520 945000 友達凱基09購08  
1809 943000 中釉            
5519 943000 隆大            
034908 942000 南亞科元大0C購03
2308 940082 台達電          
2069 933020 運錩            
030394 915000 鴻海元大12購03  
2354 915000 鴻準            
2421 906580 建準            
6282 898000 康舒            
032437 895000 宏達電元大0A購03
1513 885000 中興電          
032058 871000 聯詠國票0B購04  
086176 869000 日月光元大0C購02
035124 862000 聯詠永豐0B購02  
084622 862000 台積電凱基08購18
2375 862000 凱美            
034634 857000 金像電元大0B購02
5469 856000 瀚宇博          
088774 854000 矽創兆豐0A購02  
3437 854000 榮創            
030740 847000 盟立元大0B購01  
035206 837000 矽創元富0C購05  
034303 828000 大成鋼永豐0B購01
033191 825000 友達凱基15購01  
088567 825000 偉詮電凱基09購01
086795 822000 台積電統一09購24
2431 809000 聯昌            
076486 808000 滬深2X國票06購04
089945 806000 南電永豐0A購01  
2495 806000 普安            
6672 804000 騰輝電子-KY     
034925 799000 聯發科富邦0C購07
089691 798000 景碩元大09購04  
00655L 793290 國泰中國A50正2  
2455 790338 全新            
087356 787000 臺股指麥證0C購02
034685 786000 中鋼群益0B購13  
2880 785400 華南金          
082412 783000 鴻海麥證0C購01  
8112 776789 至上            
4960 775000 誠美材          
1452 774000 宏益            
033743 774000 鴻海富邦13購02  
034907 770000 廣達元大11購01  
032258 767000 長榮元大12購05  
086879 766000 鴻海富邦0B購01  
6120 765000 達運            
2613 758000 中櫃            
2201 757973 裕隆            
07119P 757000 長榮元大0B售10  
3706 755000 神達            
086902 750000 聯電凱基09購05  
034876 749000 晶技國泰11購02  
9919 744000 康那香          
078123 743000 世芯元富06購02  
084506 742000 台積電元大08購06
032398 741000 群創統一14購01  
034753 741000 世紀鋼元大0C購04
082773 737000 愛普統一09購06  
086368 733000 台灣50國票0A購02
086805 730000 日月光統一0B購02
035629 724000 南電國票0C購01  
033503 724000 欣興統一0C購01  
087708 723000 國巨統一09購15  
00653L 717045 富邦印度正2     
07153P 716000 長榮元大0B售14  
3413 715763 京鼎            
033179 715000 群創永豐0B購01  
2208 714700 台船            
082502 714000 祥碩統一09購03  
3017 707281 奇鋐            
6582 706000 申豐            
033597 702000 金像電兆豐0C購01
2351 701232 順德            
031352 699000 臺股指元大0A購29
00662 698748 富邦NASDAQ      
078894 698000 華擎元大06購01  
2204 697000 中華            
077040 696000 世芯國泰07購02  
033557 695000 台聚永豐0B購01  
032674 694000 中石化中信0A購04
3673 693184 TPK-KY          
089856 691000 精成科元大09購05
1474 687000 弘裕            
020015 685000 統一MSCI美低波N 
2886 684387 兆豐金          
085178 683000 聯發科統一0C購01
085018 681000 奇鋐元大08購04  
1806 681000 冠軍            
035012 680000 鴻海第一15購01  
034218 676000 友達元富0B購02  
083473 675000 大立光統一09購09
1517 666000 利奇            
2030 665000 彰源            
1101 664038 台泥            
1515 661000 力山            
033818 654000 台達電統一11購01
2456 653564 奇力新          
3041 653000 揚智            
088987 651000 立積元富09購04  
030176 650000 威鋒電國泰0C購01
035360 650000 欣興兆豐0C購02  
088825 647000 精成科元大09購03
6456 646784 GIS-KY          
084361 645000 京鼎元大07購04  
2486 643000 一詮            
9103 638000 美德醫療-DR     
8404 636000 百和興業-KY     
00633L 634100 富邦上証正2     
085356 634000 晶技永豐08購01  
087592 632000 精成科元大09購02
033956 631000 華晶科國票0C購01
083149 629000 臺股指凱基07購27
031629 628000 長榮統一12購02  
5521 627999 工信            
031755 627000 彩晶凱基0C購01  
080984 627000 台郡國泰09購01  
031915 626000 長榮永豐0A購08  
06304P 626000 臺股指凱基09售14
1795 626000 美時            
087229 623000 南電凱基09購08  
032490 622000 明泰兆豐0B購01  
035157 622000 中鋼國票0C購05  
032144 621000 長榮凱基0B購09  
086837 621000 王品元大0A購01  
085278 621000 鴻海凱基08購17  
084312 619000 聯發科凱基09購04
1309 613432 台達化          
031569 612000 中鋼凱基14購02  
033271 610000 長榮富邦11購02  
035098 610000 群創凱基11購05  
2855 608000 統一證          
033160 607000 欣興國泰11購01  
1337 606000 再生-KY         
2347 605412 聯強            
068409 604000 緯穎元富07購01  
032929 597000 健和興國票0B購01
2405 596000 浩鑫            
031964 595000 宏達電元大0B購03
082578 593000 愛普統一09購04  
035038 592000 欣興麥證11購01  
2102 591000 泰豐            
030349 587000 盟立群益0B購01  
031811 584000 中橡元大0B購01  
079136 584000 上銀元大07購01  
033130 582000 智邦元大0C購01  
031381 579000 榮成統一0A購02  
06907P 575000 台灣50群益0A售06
034528 575000 聯電麥證0B購03  
033389 570000 欣興元大0C購01  
5876 569400 上海商銀        
033715 568000 技嘉國票0C購01  
030845 565000 大立光兆豐0A購01
035228 565000 聯詠兆豐0C購04  
2505 561500 國揚            
032405 559000 亞泥元大0B購01  
034657 559000 長榮永豐0B購02  
9910 557995 豐泰            
079139 557000 智邦元大07購01  
034783 554000 台達電國泰11購01
033323 554000 友達凱基11購01  
085626 554000 鴻海凱基08購20  
033180 552000 TPK永豐0B購01   
035336 549000 聯電元富0B購03  
034095 549000 和鑫元大0B購02  
00753L 547999 中信中國50正2   
1762 546000 中化生          
033083 544000 彩晶統一0A購01  
034862 544000 晶技元大0C購02  
1709 544000 和益            
031434 543000 晶技凱基0B購01  
086486 542000 晶技統一0B購01  
8103 541000 瀚荃            
3014 536000 聯陽            
034608 535000 聯詠統一0C購05  
085180 535000 信邦統一0A購01  
07099P 533000 長榮凱基0B售12  
031823 532000 康普元大0B購01  
030005 532000 新唐中信0A購01  
084298 532000 佳世達兆豐08購01
081995 531000 愛普元大08購02  
088872 529000 立積永豐09購06  
079646 529000 台積電凱基0C購01
033145 523000 京鼎元大0B購01  
2233 523000 宇隆            
077393 521000 台積電凱基0B購01
030521 520000 威鋒電群益0B購01
035051 518000 聯發科富邦11購01
00692 516500 富邦公司治理    
035494 515000 金像電國泰12購01
035056 514000 聯電國泰11購04  
033278 510000 聯電統一15購02  
034278 509000 國巨富邦11購02  
5880 508300 合庫金          
035022 508000 鴻海凱基0B購11  
034679 508000 愛普凱基11購01  
035109 507000 世紀鋼元大0B購03
030624 506000 玉晶光元大11購01
034716 506000 長榮康和11購01  
00876 503070 元大未來關鍵科技
078075 501000 惠特國票08購01  
084080 501000 台積電元大07購43
082756 500000 精英統一08購01  
080730 500000 華邦電兆豐07購03
088149 499000 台表科永豐09購01
087081 499000 精成科統一0B購01
086133 499000 景碩群益08購03  
080346 499000 台光電統一08購01
075292 499000 上緯控凱基07購01
034241 498000 大成鋼統一17購01
071823 498000 新光金元大06購01
035052 497000 國泰金富邦11購01
00830 495000 國泰費城半導體  
082988 495000 玉晶光元大08購05
088648 494000 聯詠富邦0B購03  
081661 494000 長榮永豐07購06  
3026 493021 禾伸堂          
035201 493000 聯詠元富0C購02  
085091 493000 國巨凱基08購10  
077921 492000 順德群益06購01  
2617 491734 台航            
085324 491000 T50正2群益08購12
075935 491000 順德國票07購01  
089974 489000 義隆元大0A購02  
2032 488998 新鋼            
034066 487000 國巨富邦11購01  
3669 487000 圓展            
6239 485757 力成            
033132 485000 矽統元大0C購01  
089067 484000 凌陽凱基0A購01  
00631L 483627 元大台灣50正2   
085998 483000 健和興元大08購01
086878 482000 精成科國泰0B購01
081645 482000 明基材元大07購01
035149 481000 萬海統一0C購07  
1810 481000 和成            
083970 480000 祥碩凱基08購03  
089738 479000 立積永豐09購08  
031443 478000 矽統麥證0B購01  
032039 478000 華榮國票0C購01  
033813 474000 台泥統一11購01  
086308 469000 華邦電凱基12購01
3708 469000 上緯投控        
2461 467995 光群雷          
032249 467000 東聯元大0C購01  
033110 467000 聯電富邦13購02  
087038 464000 鴻海凱基0B購06  
033569 464000 南電永豐0B購01  
07220P 464000 萬海元大0B售12  
3605 464000 宏致            
07008P 462000 中鋼凱基0B售04  
035029 461000 南電凱基0B購02  
082650 461000 金像電永豐07購01
6168 461000 宏齊            
085767 460000 鴻海凱基08購22  
032919 457000 中橡國票0B購01  
034871 456000 華東元大0C購01  
082787 456000 瑞昱元富08購01  
2612 455200 中航            
3047 455000 訊舟            
035005 454000 佳世達元大0B購02
085370 453000 聯電群益09購02  
034804 452000 群創凱基11購04  
030407 451000 超豐元大0A購02  
034549 451000 矽創統一0C購03  
035543 451000 聯電統一0C購08  
035347 450000 群創元富0B購10  
035257 450000 凌陽凱基11購01  
086208 449000 南電凱基08購06  
089481 448000 聯發科富邦0A購04
034930 448000 世紀鋼國泰11購01
034493 448000 新光金元大13購02
3406 447890 玉晶光          
086644 447000 TPK凱基09購01   
2387 446008 精元            
032606 445000 晶技元大0A購04  
034678 445000 愛普凱基0B購01  
030809 444000 台積電富邦11購01
089378 444000 南電元大09購08  
035224 444000 日月光國泰11購02
088568 442000 聯發科凱基09購09
083881 442000 大立光國泰0B購01
033084 441000 矽創統一0A購02  
06215P 440000 T50反1元大0B售01
081572 440000 鼎炫永豐07購01  
1789 438027 神隆            
086371 438000 上証2X國票0A購01
030738 436000 全新元大0A購01  
088526 432000 智易國泰0B購01  
076849 432000 滬深2X凱基06購03
1760 431000 寶齡富錦        
030299 430000 威鋒電元富11購03
087593 430000 樺漢元大09購01  
031284 429000 華邦電日盛0A購03
083264 429000 健和興凱基09購01
032888 428000 大成鋼統一0A購02
031553 428000 滬深2X群益0A購03
1457 427000 宜進            
033447 426000 新唐元大0B購02  
034545 425000 國泰金統一0B購04
078389 425000 聯電富邦07購01  
034818 424000 開發金群益11購02
086802 423000 群創統一0B購03  
2402 421793 毅嘉            
034100 421000 威鋒電元大0C購01
086859 420000 滬深2X國票0A購04
089263 420000 南電統一0A購09  
6176 418814 瑞儀            
030159 418000 強茂中信0A購02  
088296 418000 聯發科麥證12購01
030974 416000 凌陽元大0A購02  
031659 416000 華碩元大0A購02  
089372 416000 立積元大09購08  
033664 416000 晶技統一15購01  
031588 415000 玉晶光凱基0A購02
5285 415000 界霖            
030392 414000 鴻海元大0C購11  
2305 414000 全友            
033907 413000 群創統一12購01  
